ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00737,41980,1.000000000,1.000000000,1.000000000,1.000000000
00738,41980,1.000000000,1.000000000,1.000000000,1.000000000
00739,41980,1.000000000,1.000000000,1.000000000,1.000000000
00740,41980,1.000000000,1.000000000,1.000000000,1.000000000
00741,41980,1.000000000,1.000000000,1.000000000,1.000000000
00742,41980,0.000000000,0.000000000,1.000000000,1.000000000
00744,41980,1.000000000,1.000000000,1.000000000,1.000000000
00745,41980,1.000000000,1.000000000,1.000000000,1.000000000
00751,17640,0.998673580,1.000000000,1.000000000,0.998768749
00751,42180,0.001326420,0.000000000,0.000000000,0.001231251
00754,41980,1.000000000,1.000000000,1.000000000,1.000000000
00757,17620,0.002347998,0.000000000,0.000000000,0.002218330
00757,42180,0.997652002,1.000000000,1.000000000,0.997781670
00765,99999,1.000000000,1.000000000,1.000000000,1.000000000
00766,38660,1.000000000,1.000000000,1.000000000,1.000000000
00767,41980,1.000000000,1.000000000,1.000000000,1.000000000
00769,17620,1.000000000,1.000000000,1.000000000,1.000000000
00771,41980,1.000000000,1.000000000,1.000000000,1.000000000
00772,41980,1.000000000,1.000000000,1.000000000,1.000000000
00773,41980,1.000000000,1.000000000,1.000000000,1.000000000
00775,99999,0.000000000,0.000000000,1.000000000,1.000000000
00777,41980,1.000000000,1.000000000,1.000000000,1.000000000
00778,41980,1.000000000,1.000000000,1.000000000,1.000000000
00780,38660,1.000000000,1.000000000,1.000000000,1.000000000
00782,41980,1.000000000,1.000000000,1.000000000,1.000000000
00783,41980,1.000000000,1.000000000,1.000000000,1.000000000
00784,25020,1.000000000,1.000000000,1.000000000,1.000000000
00785,25020,1.000000000,1.000000000,1.000000000,1.000000000
00786,41980,0.000000000,0.000000000,1.000000000,1.000000000
00791,41980,1.000000000,1.000000000,1.000000000,1.000000000
00792,41980,1.000000000,1.000000000,1.000000000,1.000000000
00794,41980,1.000000000,1.000000000,1.000000000,1.000000000
00795,38660,1.000000000,1.000000000,1.000000000,1.000000000
00802,99999,1.000000000,1.000000000,1.000000000,1.000000000
00820,99999,1.000000000,1.000000000,1.000000000,1.000000000
00830,99999,1.000000000,1.000000000,1.000000000,1.000000000
00840,99999,1.000000000,1.000000000,1.000000000,1.000000000
00850,99999,1.000000000,1.000000000,1.000000000,1.000000000
00901,41980,1.000000000,1.000000000,1.000000000,1.000000000
00902,41980,1.000000000,1.000000000,1.000000000,1.000000000
00907,41980,1.000000000,1.000000000,1.000000000,1.000000000
00908,41980,1.000000000,1.000000000,1.000000000,1.000000000
00909,41980,1.000000000,1.000000000,1.000000000,1.000000000
